"player_name","max_release_speed","percentage_above_95","Days_missed","average_spin_rate","average_velo"
"Martinez, Nick",95.4,70.554272517321,NA,2344.08198614319,91.3557159353349
"Matz, Steven",97.1,96.3350785340314,264,NA,94.2996920234062
"May, Dustin",100.5,70.1334816462736,347,NA,96.3693548387097
"McClanahan, Shane",100.7,74.11188240098,230,NA,96.6273581053491
"McKenzie, Triston",96.5,65.282434872324,181,NA,92.1299974206861
"Means, John",96.5,80.9289617486339,569,2412.24972677596,92.742131147541
"Megill, Tylor",99.2,69.1823899371069,173,NA,94.7461978273299
"Mikolas, Miles",97.3,69.0923957481603,208,NA,93.0405151267375
"Miley, Wade",94.3,20.5657708628006,420,NA,87.2179349363508
"Miller, Bryce",98,96.1089494163424,20,NA,94.9987029831388
"Minor, Mike",94,87.5372182050191,76,NA,90.6788175244577
"Mize, Casey",98.6,60.3427660422479,234,NA,93.9838581108011
"Montas, Frankie",99.4,74.098982583204,220,NA,94.9795999310226
"Montgomery, Jordan",96.3,78.0260380014075,38,NA,92.285872624912
"Morton, Charlie",98.3,71.7493718592965,23,NA,93.6083699748744
"Musgrove, Joe",96.3,61.968434896975,151,NA,91.8639631740465
"Márquez, Germán",99.7,60.6099767381752,196,NA,95.1510726285862
"Nelson, Ryne",99.1,53.3771667662881,48,NA,93.5301852958757
"Nola, Aaron",96.4,67.4418604651163,9,NA,91.8394012296177
"Ober, Bailey",94.7,82.5976014289359,127,NA,90.9625414646594
"Odorizzi, Jake",94.8,76.6070749334348,137,NA,91.0799163179916
"Ohtani, Shohei",101.4,41.1399881866509,0,NA,94.5379503839338
"Ortiz, Luis L.",100.4,56.1538461538462,NA,NA,95.1235714285714
"Oviedo, Johan",99.3,78.8029925187032,192,2270.77431421446,95.5267248545303
"Paddack, Chris",98.1,72.3663522012579,465,NA,94.0460691823899
"Paxton, James",98.2,55.4831288343558,316,NA,92.707476993865
"Peralta, Freddy",99.1,43.1867057673509,103,NA,93.8389833822092
"Peterson, David",98.9,19.0488301119023,75,NA,92.559511698881
"Pfaadt, Brandon",96.8,93.8775510204082,NA,NA,93.68908788005
"Pivetta, Nick",98.6,54.6713409290096,40,NA,93.0930937773883
"Plesac, Zach",96.1,77.4354704412989,77,NA,92.2200666111574
"Pérez, Martín",96.1,43.7246963562753,47,NA,90.8572095920274
"Quantrill, Cal",96.7,61.68097605061,107,NA,91.814369633981
"Quintana, Jose",94.1,93.4301181102362,188,NA,90.8953986220472
"Ragans, Cole",101,30.7346326836582,19,NA,94.149287856072
"Rasmussen, Drew",99.2,55.7773512476008,152,NA,93.3691746641075
"Ray, Robbie",98.3,69.6172248803828,167,NA,94.0516746411483
"Rea, Colin",95.8,63.2191338073691,NA,NA,90.9444408532644
"Rodriguez, Eduardo",95.7,63.2442396313364,391,NA,91.2153548387097
"Rodriguez, Grayson",101,68.175110673881,75,NA,96.465272995573
"Rodón, Carlos",100.5,50.2544529262086,192,NA,95.334169392948
"Rogers, Trevor",98.4,54.1443198439786,64,NA,93.5419307654803
"Ryan, Joe",96.9,63.0454545454545,96,NA,92.5408181818182
"Ryu, Hyun Jin",93.9,37.186584174536,NA,NA,88.1287854119179
"Sale, Chris",99,58.0850218514104,463,NA,94.2717123559793
"Sandoval, Patrick",97.7,62.2484829128074,100,NA,93.2288725646758
"Scherzer, Max",98,65.0220771741217,238,2407.2100211173,93.2092724131311
"Schmidt, Clarke",97,62.615255658005,238,NA,92.7166387259011
